,Artist,Rating,Song,Year
35,Highwaymen,36,Cotton Fields,1962
36,Bent Fabric,37,Alley Cat,1962
37,The Isley Brothers,38,Twist And Shout,1962
38,Richard Chamberlain,39,Theme From Dr. Kildare,1962
39,Ace Cannon,40,Tuff,1962
40,Clyde Mcphatter,41,"Lover, Please",1962
41,Barbara George,42,I Know,1962
42,Rick Nelson,43,Young World,1962
43,Shirelles,44,Baby It’s You,1962
44,Pat Boone,45,Speedy Gonzales,1962
45,Burl Ives,46,A Little Bitty Tear,1962
46,Everly Brothers,47,Crying In The Rain,1962
47,Emillo Pericoli,48,Al Di La’,1962
48,Ernie Maresca,49,Shout! Shout! (Knock Yourself Out),1962
49,Don and Juan,50,What’s Your Name,1962
50,Corsairs,51,Smoky Places,1962
51,Sam Cooke,52,Having A Party,1962
52,Booker T and The MG’s,53,Green Onions,1962
53,Ray Charles,54,You Don’t Know Me,1962
54,Four Seasons,55,Sherry,1962
55,Joanie Sommers,56,Johnny Get Angry,1962
56,Elvis Presley,57,Can’t Help Falling In Love,1962
57,Joey Dee,58,Shout,1962
58,Dave “Baby” Cortez,59,Rinky Dink,1962
59,Henry Mancini,60,Moon River,1962
60,Ray Stevens,61,Ahab The Arab,1962
61,Bobby Darin,62,Things,1962
62,Gene Pitney,63,The Man Who Shot Liberty Valance,1962
63,Duprees,64,You Belong To Me,1962
64,Roy Orbison,65,Dream Baby,1962
65,Joe Henderson,66,Snap Your Fingers,1962
66,Dion,67,Lovers Who Wander,1962
67,Chris Montez,68,Let’s Dance,1962
68,Johnny Crawford,69,Cindy’s Birthday,1962
69,Mary Wells,70,You Beat Me To The Punch,1962
70,Barbara Lynn,71,You’ll Lose A Good Thing,1962
71,Crystals,72,Uptown,1962
72,Brenda Lee,73,Everybody Loves Me But You,1962
73,Dickie Lee,74,Patches,1962
74,Jimmy Clanton,75,Venus In Blue Jeans,1962
75,Paul Anka,76,Love Me Warm And Tender,1962
76,Rick Nelson,77,Teen Age Idol,1962
77,Patsy Cline,78,She’s Got You,1962
78,Larry Finnegan,79,Dear One,1962
79,James Darren,80,Her Royal Majesty,1962
80,Walter Brennan,81,Old Rivers,1962
81,Burl Ives,82,Funny Way Of Laughin’,1962
